#Interaction type,Interactor A ID,Interactor A name,Interactor A taxid,Interactor B ID,Interactor B name,Interactor B taxid,Host organism taxid,Binding affinity type,Binding affinity value in molar,Binding affinity variation in molar,Interaction detection method,Source,EBI Interaction ID
association,uniprotkb:P68400,CSNK2A1,Homo sapiens (taxid:9606),uniprotkb:P14625,HSP90B1,Homo sapiens (taxid:9606),-,kd,0.0004,-,experimental interaction detection (MI:0045),pubmed:11557039,intact:EBI-7971392
association,uniprotkb:P28799,GRN,Homo sapiens (taxid:9606),uniprotkb:P98160,HSPG2,Homo sapiens (taxid:9606),-,kd,0.001,-,experimental interaction detection (MI:0045),pubmed:12900424,intact:EBI-6988244
direct interaction,uniprotkb:P38398,BRCA1,Homo sapiens (taxid:9606),uniprotkb:Q9BX63,BRIP1,Homo sapiens (taxid:9606),-,kd,0.000000113,-,surface plasmon resonance (MI:0107),pubmed:14576432,intact:EBI-7051341
direct interaction,uniprotkb:Q8IVG9,MT-RNR2,Homo sapiens (taxid:9606),uniprotkb:Q07812,BAX,Homo sapiens (taxid:9606),-,kd,0.000000002,-,fluorescence polarization spectroscopy (MI:0053),pubmed:12732850,intact:EBI-8643981
direct interaction,uniprotkb:P0CG63,UBI4,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),uniprotkb:P40343,VPS27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),-,kd,0.000277,-,isothermal titration calorimetry (MI:0065),pubmed:12970172,intact:EBI-7004078
direct interaction,uniprotkb:P0CG63,UBI4,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),uniprotkb:P40343,VPS27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),-,kd,0.000117,-,isothermal titration calorimetry (MI:0065),pubmed:12970172,intact:EBI-7004095
direct interaction,uniprotkb:O14964,HGS,Homo sapiens (taxid:9606),uniprotkb:P0CG48,UBC,Homo sapiens (taxid:9606),-,kd,0.00211,-,surface plasmon resonance (MI:0107),pubmed:12750381,intact:EBI-8646853
direct interaction,uniprotkb:Q92783,STAM,Homo sapiens (taxid:9606),uniprotkb:P0CG48,UBC,Homo sapiens (taxid:9606),-,kd,0.000217,-,surface plasmon resonance (MI:0107),pubmed:12750381,intact:EBI-8646889
direct interaction,uniprotkb:P0CG48,UBC,Homo sapiens (taxid:9606),uniprotkb:P40343,VPS27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),-,kd,0.00169,-,surface plasmon resonance (MI:0107),pubmed:12750381,intact:EBI-8646871
direct interaction,uniprotkb:O75886,STAM2,Homo sapiens (taxid:9606),uniprotkb:P0CG48,UBC,Homo sapiens (taxid:9606),-,kd,0.000203,-,surface plasmon resonance (MI:0107),pubmed:12750381,intact:EBI-8646925
direct interaction,uniprotkb:P0CG48,UBC,Homo sapiens (taxid:9606),uniprotkb:P42567,Eps15,Mus musculus (taxid:10090),-,kd,0.01,-,surface plasmon resonance (MI:0107),pubmed:12750381,intact:EBI-8646943
direct interaction,uniprotkb:P0CG48,UBC,Homo sapiens (taxid:9606),uniprotkb:Q92783,STAM,Homo sapiens (taxid:9606),-,kd,0.000203,-,surface plasmon resonance (MI:0107),pubmed:12750381,intact:EBI-8646907
direct interaction,uniprotkb:P0CG48,UBC,Homo sapiens (taxid:9606),uniprotkb:O14964,HGS,Homo sapiens (taxid:9606),-,kd,0.000291,-,surface plasmon resonance (MI:0107),pubmed:12750381,intact:EBI-8646978
direct interaction,uniprotkb:P55036,PSMD4,Homo sapiens (taxid:9606),uniprotkb:P54725,RAD23A,Homo sapiens (taxid:9606),-,kd,0.0000129,-,surface plasmon resonance (MI:0107),pubmed:12970176,intact:EBI-7004534
physical association,uniprotkb:P23528,CFL1,Homo sapiens (taxid:9606),uniprotkb:P63104,YWHAZ,Homo sapiens (taxid:9606),-,kd,0.000000062,-,affinity chromatography technology (MI:0004),pubmed:12361576,intact:EBI-445553
direct interaction,uniprotkb:P83917,Cbx1,Mus musculus (taxid:10090),uniprotkb:P68433,h3_peptide-4,-,-,kd,0.00000007,-,biophysical (MI:0013),pubmed:11242054,intact:EBI-7794240
direct interaction,uniprotkb:P02299,His3,Drosophila melanogaster (Fruit fly) (taxid:7227),uniprotkb:P26017,Pc,Drosophila melanogaster (Fruit fly) (taxid:7227),-,kd,0.000125,-,fluorescence polarization spectroscopy (MI:0053),pubmed:12897054,intact:EBI-6983851
direct interaction,uniprotkb:P02299,His3,Drosophila melanogaster (Fruit fly) (taxid:7227),uniprotkb:P26017,Pc,Drosophila melanogaster (Fruit fly) (taxid:7227),-,kd,0.000005,-,fluorescence polarization spectroscopy (MI:0053),pubmed:12897054,intact:EBI-6983904
direct interaction,uniprotkb:P02299,His3,Drosophila melanogaster (Fruit fly) (taxid:7227),uniprotkb:P26017,Pc,Drosophila melanogaster (Fruit fly) (taxid:7227),-,kd,0.000028,-,fluorescence polarization spectroscopy (MI:0053),pubmed:12897054,intact:EBI-6983961
direct interaction,uniprotkb:P02299,His3,Drosophila melanogaster (Fruit fly) (taxid:7227),uniprotkb:P26017,Pc,Drosophila melanogaster (Fruit fly) (taxid:7227),-,kd,0.00002,-,fluorescence polarization spectroscopy (MI:0053),pubmed:12897054,intact:EBI-6984009
direct interaction,uniprotkb:P05205,Su(var)205,Drosophila melanogaster (Fruit fly) (taxid:7227),uniprotkb:P02299,His3,Drosophila melanogaster (Fruit fly) (taxid:7227),-,kd,0.000064,-,fluorescence polarization spectroscopy (MI:0053),pubmed:12897054,intact:EBI-6984104
direct interaction,uniprotkb:P02299,His3,Drosophila melanogaster (Fruit fly) (taxid:7227),uniprotkb:P05205,Su(var)205,Drosophila melanogaster (Fruit fly) (taxid:7227),-,kd,0.000007,-,fluorescence polarization spectroscopy (MI:0053),pubmed:12897054,intact:EBI-6984255
direct interaction,uniprotkb:P05205,Su(var)205,Drosophila melanogaster (Fruit fly) (taxid:7227),uniprotkb:P02299,His3,Drosophila melanogaster (Fruit fly) (taxid:7227),-,kd,0.000004,-,fluorescence polarization spectroscopy (MI:0053),pubmed:12897054,intact:EBI-6984170
direct interaction,uniprotkb:P05205,Su(var)205,Drosophila melanogaster (Fruit fly) (taxid:7227),uniprotkb:P02299,His3,Drosophila melanogaster (Fruit fly) (taxid:7227),-,kd,0.000046,-,fluorescence polarization spectroscopy (MI:0053),pubmed:12897054,intact:EBI-6984338
direct interaction,uniprotkb:P22575,tip_shv2c,Saimiriine herpesvirus 2 (strain 488) (SaHV-2) (taxid:10384),uniprotkb:P06239,LCK,Homo sapiens (taxid:9606),-,kd,0.00000277,-,nuclear magnetic resonance (MI:0077),pubmed:15554700,intact:EBI-7382181
association,uniprotkb:Q95P16,q95p16_triif,Triatoma infestans (taxid:30076),uniprotkb:P50448,f12ai_bovin,Bos taurus (Bovine) (taxid:9913),-,kd,0.000000000128,-,experimental interaction detection (MI:0045),pubmed:15556638,intact:EBI-7390209
direct interaction,uniprotkb:P23443,RPS6KB1,Homo sapiens (taxid:9606),uniprotkb:Q13057,COASY,Homo sapiens (taxid:9606),-,kd,0.000000184,-,surface plasmon resonance (MI:0107),pubmed:15589845,intact:EBI-7416672
physical association,uniprotkb:P06762,Hmox1,Rattus norvegicus (Rat) (taxid:10116),uniprotkb:P16435,POR,Homo sapiens (taxid:9606),-,kd,0.0000001795,-,bioluminescence resonance energy transfer (MI:0012),pubmed:15581622,intact:EBI-7410412
physical association,uniprotkb:P53004,BLVRA,Homo sapiens (taxid:9606),uniprotkb:P06762,Hmox1,Rattus norvegicus (Rat) (taxid:10116),-,kd,0.0000000148,-,fluorescent resonance energy transfer (MI:0055),pubmed:15581622,intact:EBI-7410471
physical association,uniprotkb:Q13426,XRCC4,Homo sapiens (taxid:9606),uniprotkb:Q96T60,PNKP,Homo sapiens (taxid:9606),-,kd,0.0000000000041,-,isothermal titration calorimetry (MI:0065),pubmed:15385968,intact:EBI-7326603
direct interaction,uniprotkb:Q9UPU3,SORCS3,Homo sapiens (taxid:9606),uniprotkb:P01138,NGF,Homo sapiens (taxid:9606),-,kd,0.00000000007,-,surface plasmon resonance (MI:0107),pubmed:15710408,intact:EBI-7484429
direct interaction,uniprotkb:Q9UPU3,SORCS3,Homo sapiens (taxid:9606),uniprotkb:P01138,NGF,Homo sapiens (taxid:9606),-,kd,0.00000000003,-,surface plasmon resonance (MI:0107),pubmed:15710408,intact:EBI-7484484
direct interaction,uniprotkb:Q9UPU3,SORCS3,Homo sapiens (taxid:9606),uniprotkb:P01138,NGF,Homo sapiens (taxid:9606),-,kd,0.00000000004,-,surface plasmon resonance (MI:0107),pubmed:15710408,intact:EBI-7484510
direct interaction,uniprotkb:Q5WMC9,tir,Escherichia coli (taxid:562),uniprotkb:P16333,NCK1,Homo sapiens (taxid:9606),-,kd,0.000000313,-,fluorescence polarization spectroscopy (MI:0053),pubmed:11533668,intact:EBI-7948453
physical association,uniprotkb:P56855,tx1_strgf,Stromatopelma calceatum griseipes (Feather leg baboon tarantula) (taxid:118974),uniprotkb:Q14721,KCNB1,Homo sapiens (taxid:9606),Xenopus laevis (taxid:8355),kd,0.0000027,-,biochemical (MI:0401),pubmed:15051809,intact:EBI-528854
direct interaction,uniprotkb:P04921,GYPC,Homo sapiens (taxid:9606),uniprotkb:Q00013,MPP1,Homo sapiens (taxid:9606),-,kd,0.0000000000044,-,surface plasmon resonance (MI:0107),pubmed:9305870,intact:EBI-8621077
association,uniprotkb:P08588,ADRB1,Homo sapiens (taxid:9606),uniprotkb:Q86UL8,MAGI2,Homo sapiens (taxid:9606),-,kd,0.00000001,-,experimental interaction detection (MI:0045),pubmed:11526121,intact:EBI-7941357
association,uniprotkb:O67990,vmc,Vibrio mimicus (taxid:674),uniprotkb:P02465,COL1A2,Bos taurus (Bovine) (taxid:9913),-,kd,0.0000000000021,-,experimental interaction detection (MI:0045),pubmed:15848196,intact:EBI-7605457
direct interaction,uniprotkb:P59595,N,Human SARS coronavirus (taxid:227859),uniprotkb:P09651,HNRNPA1,Homo sapiens (taxid:9606),-,kd,0.00000035,-,surface plasmon resonance (MI:0107),pubmed:15862300,intact:EBI-7613676
direct interaction,uniprotkb:Q9GJP9,MYH13,Oryctolagus cuniculus (Rabbit) (taxid:9986),uniprotkb:P31751,AKT2,Homo sapiens (taxid:9606),-,kd,0.00000000000011,-,pull down (MI:0096),pubmed:10082674,intact:EBI-6961726
direct interaction,uniprotkb:O35430,Apba1,Rattus norvegicus (Rat) (taxid:10116),uniprotkb:Q99PW8,Kif17,Mus musculus (taxid:10090),-,kd,0.000000000003,-,surface plasmon resonance (MI:0107),pubmed:10846156,intact:EBI-7293493
direct interaction,uniprotkb:O60880,SH2D1A,Homo sapiens (taxid:9606),uniprotkb:Q13291,SLAMF1,Homo sapiens (taxid:9606),-,kd,0.00000024,-,fluorescence polarization spectroscopy (MI:0053),pubmed:10607564,intact:EBI-7162351
physical association,uniprotkb:O88551,Cldn1,Mus musculus (taxid:10090),uniprotkb:P39447,Tjp1,Mus musculus (taxid:10090),-,kd,0.000000013,-,pull down (MI:0096),pubmed:10601346,intact:EBI-7158467
physical association,uniprotkb:O88551,Cldn1,Mus musculus (taxid:10090),uniprotkb:Q9Z0U1,Tjp2,Mus musculus (taxid:10090),-,kd,0.000000011,-,pull down (MI:0096),pubmed:10601346,intact:EBI-7158956
physical association,uniprotkb:O88551,Cldn1,Mus musculus (taxid:10090),uniprotkb:Q9QXY1,Tjp3,Mus musculus (taxid:10090),-,kd,0.000000018,-,pull down (MI:0096),pubmed:10601346,intact:EBI-7159019
direct interaction,uniprotkb:O89100,Grap2,Mus musculus (taxid:10090),uniprotkb:Q13094,LCP2,Homo sapiens (taxid:9606),-,kd,0.000000181,-,isothermal titration calorimetry (MI:0065),pubmed:12773374,intact:EBI-8652888
direct interaction,uniprotkb:Q8WWW8,GAB3,Homo sapiens (taxid:9606),uniprotkb:O89100,Grap2,Mus musculus (taxid:10090),-,kd,0.000000387,-,isothermal titration calorimetry (MI:0065),pubmed:12773374,intact:EBI-8652965
direct interaction,uniprotkb:O89100,Grap2,Mus musculus (taxid:10090),uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),-,kd,0.000000603,-,isothermal titration calorimetry (MI:0065),pubmed:12773374,intact:EBI-8652924
direct interaction,uniprotkb:O89100,Grap2,Mus musculus (taxid:10090),uniprotkb:O95630,STAMBP,Homo sapiens (taxid:9606),-,kd,0.000000473,-,isothermal titration calorimetry (MI:0065),pubmed:12773374,intact:EBI-8653013
direct interaction,uniprotkb:P40818,USP8,Homo sapiens (taxid:9606),uniprotkb:O89100,Grap2,Mus musculus (taxid:10090),-,kd,0.00000094,-,isothermal titration calorimetry (MI:0065),pubmed:12773374,intact:EBI-8652989
direct interaction,uniprotkb:Q13094,LCP2,Homo sapiens (taxid:9606),uniprotkb:O89100,Grap2,Mus musculus (taxid:10090),-,kd,0.000000118,-,isothermal titration calorimetry (MI:0065),pubmed:12773374,intact:EBI-8653062
direct interaction,uniprotkb:O89100,Grap2,Mus musculus (taxid:10090),uniprotkb:Q8WV28,BLNK,Homo sapiens (taxid:9606),-,kd,0.000000921,-,isothermal titration calorimetry (MI:0065),pubmed:12773374,intact:EBI-8653037
direct interaction,uniprotkb:Q92918,MAP4K1,Homo sapiens (taxid:9606),uniprotkb:O89100,Grap2,Mus musculus (taxid:10090),-,kd,0.0000208,-,isothermal titration calorimetry (MI:0065),pubmed:15100220,intact:EBI-7173395
direct interaction,uniprotkb:O89100,Grap2,Mus musculus (taxid:10090),uniprotkb:P70218,Map4k1,Mus musculus (taxid:10090),-,kd,0.0000024,-,isothermal titration calorimetry (MI:0065),pubmed:15100220,intact:EBI-7173435
direct interaction,uniprotkb:O15428,PIN1P1,Homo sapiens (taxid:9606),uniprotkb:P10636,MAPT,Homo sapiens (taxid:9606),-,kd,0.0033,-,nuclear magnetic resonance (MI:0077),pubmed:16024016,intact:EBI-7695311
direct interaction,uniprotkb:O95400,CD2BP2,Homo sapiens (taxid:9606),uniprotkb:P14678,SNRPB,Homo sapiens (taxid:9606),-,kd,0.000033,-,nuclear magnetic resonance (MI:0077),pubmed:16000308,intact:EBI-7690361
direct interaction,uniprotkb:Q9Y5V3,MAGED1,Homo sapiens (taxid:9606),uniprotkb:O95400,CD2BP2,Homo sapiens (taxid:9606),-,kd,0.000065,-,nuclear magnetic resonance (MI:0077),pubmed:16000308,intact:EBI-7690422
direct interaction,uniprotkb:O95400,CD2BP2,Homo sapiens (taxid:9606),uniprotkb:P06729,CD2,Homo sapiens (taxid:9606),-,kd,0.000039,-,nuclear magnetic resonance (MI:0077),pubmed:16000308,intact:EBI-7690400
direct interaction,uniprotkb:O95400,CD2BP2,Homo sapiens (taxid:9606),uniprotkb:P06729,CD2,Homo sapiens (taxid:9606),-,kd,0.000159,-,nuclear magnetic resonance (MI:0077),pubmed:16000308,intact:EBI-7690467
direct interaction,uniprotkb:O95400,CD2BP2,Homo sapiens (taxid:9606),uniprotkb:Q7Z591,AKNA,Homo sapiens (taxid:9606),-,kd,0.000101,-,nuclear magnetic resonance (MI:0077),pubmed:16000308,intact:EBI-7690445
association,uniprotkb:P02510,CRYAB,Bos taurus (Bovine) (taxid:9913),uniprotkb:P10279,PRNP,Bos taurus (Bovine) (taxid:9913),-,kd,0.000000398,-,experimental interaction detection (MI:0045),pubmed:16198347,intact:EBI-7824640
direct interaction,uniprotkb:O60784,TOM1,Homo sapiens (taxid:9606),uniprotkb:P0CG53,UBB,Bos taurus (Bovine) (taxid:9913),-,kd,0.000409,-,surface plasmon resonance (MI:0107),pubmed:16199040,intact:EBI-7831838
direct interaction,uniprotkb:P49418,AMPH,Homo sapiens (taxid:9606),uniprotkb:Q05193,DNM1,Homo sapiens (taxid:9606),-,kd,0.0000000099,-,surface plasmon resonance (MI:0107),pubmed:15834155,intact:EBI-7591360
direct interaction,uniprotkb:Q05193,DNM1,Homo sapiens (taxid:9606),uniprotkb:Q99962,SH3GL2,Homo sapiens (taxid:9606),-,kd,0.0000000592,-,surface plasmon resonance (MI:0107),pubmed:15834155,intact:EBI-7591406
direct interaction,uniprotkb:Q05193,DNM1,Homo sapiens (taxid:9606),uniprotkb:Q15811,ITSN1,Homo sapiens (taxid:9606),-,kd,0.0000000735,-,surface plasmon resonance (MI:0107),pubmed:15834155,intact:EBI-7591434
direct interaction,uniprotkb:Q15811,ITSN1,Homo sapiens (taxid:9606),uniprotkb:Q05193,DNM1,Homo sapiens (taxid:9606),-,kd,0.0000001645,-,surface plasmon resonance (MI:0107),pubmed:15834155,intact:EBI-7591501
direct interaction,uniprotkb:Q99962,SH3GL2,Homo sapiens (taxid:9606),uniprotkb:Q05193,DNM1,Homo sapiens (taxid:9606),-,kd,0.0000139,-,surface plasmon resonance (MI:0107),pubmed:15834155,intact:EBI-7591651
direct interaction,uniprotkb:Q05193,DNM1,Homo sapiens (taxid:9606),uniprotkb:P12931,SRC,Homo sapiens (taxid:9606),-,kd,0.0000001267,-,surface plasmon resonance (MI:0107),pubmed:15834155,intact:EBI-7591679
direct interaction,uniprotkb:Q05193,DNM1,Homo sapiens (taxid:9606),uniprotkb:P62993,GRB2,Homo sapiens (taxid:9606),-,kd,0.000000029,-,surface plasmon resonance (MI:0107),pubmed:15834155,intact:EBI-7591737
direct interaction,uniprotkb:Q05193,DNM1,Homo sapiens (taxid:9606),uniprotkb:P62993,GRB2,Homo sapiens (taxid:9606),-,kd,0.0000017,-,surface plasmon resonance (MI:0107),pubmed:15834155,intact:EBI-7591708
direct interaction,uniprotkb:P50570,DNM2,Homo sapiens (taxid:9606),uniprotkb:P12931,SRC,Homo sapiens (taxid:9606),-,kd,0.000000131,-,surface plasmon resonance (MI:0107),pubmed:15834155,intact:EBI-7591812
direct interaction,uniprotkb:P12931,SRC,Homo sapiens (taxid:9606),uniprotkb:Q05193,DNM1,Homo sapiens (taxid:9606),-,kd,0.00000015,-,surface plasmon resonance (MI:0107),pubmed:15834155,intact:EBI-7591783
direct interaction,uniprotkb:P62993,GRB2,Homo sapiens (taxid:9606),uniprotkb:P50570,DNM2,Homo sapiens (taxid:9606),-,kd,0.0000000238,-,surface plasmon resonance (MI:0107),pubmed:15834155,intact:EBI-7591841
direct interaction,uniprotkb:P49418,AMPH,Homo sapiens (taxid:9606),uniprotkb:P50570,DNM2,Homo sapiens (taxid:9606),-,kd,0.0000000257,-,surface plasmon resonance (MI:0107),pubmed:15834155,intact:EBI-7591870
direct interaction,uniprotkb:Q99962,SH3GL2,Homo sapiens (taxid:9606),uniprotkb:P50570,DNM2,Homo sapiens (taxid:9606),-,kd,0.0000000725,-,surface plasmon resonance (MI:0107),pubmed:15834155,intact:EBI-7591915
direct interaction,uniprotkb:P50570,DNM2,Homo sapiens (taxid:9606),uniprotkb:Q99962,SH3GL2,Homo sapiens (taxid:9606),-,kd,0.0000001177,-,surface plasmon resonance (MI:0107),pubmed:15834155,intact:EBI-7592000
direct interaction,uniprotkb:Q15811,ITSN1,Homo sapiens (taxid:9606),uniprotkb:P50570,DNM2,Homo sapiens (taxid:9606),-,kd,0.0000000392,-,surface plasmon resonance (MI:0107),pubmed:15834155,intact:EBI-7591943
direct interaction,uniprotkb:Q01112,cdc42,Schizosaccharomyces pombe (strain ATCC 38366 / 972) (taxid:284812),uniprotkb:P40996,scd2,Schizosaccharomyces pombe (strain ATCC 38366 / 972) (taxid:284812),-,kd,0.000000028,-,isothermal titration calorimetry (MI:0065),pubmed:15631622,intact:EBI-7442158
direct interaction,uniprotkb:Q01112,cdc42,Schizosaccharomyces pombe (strain ATCC 38366 / 972) (taxid:284812),uniprotkb:P40996,scd2,Schizosaccharomyces pombe (strain ATCC 38366 / 972) (taxid:284812),-,kd,0.00000171,-,isothermal titration calorimetry (MI:0065),pubmed:15631622,intact:EBI-7442221
direct interaction,uniprotkb:Q01112,cdc42,Schizosaccharomyces pombe (strain ATCC 38366 / 972) (taxid:284812),uniprotkb:P40996,scd2,Schizosaccharomyces pombe (strain ATCC 38366 / 972) (taxid:284812),-,kd,0.000003,-,isothermal titration calorimetry (MI:0065),pubmed:15631622,intact:EBI-7442183
direct interaction,uniprotkb:Q01112,cdc42,Schizosaccharomyces pombe (strain ATCC 38366 / 972) (taxid:284812),uniprotkb:P40996,scd2,Schizosaccharomyces pombe (strain ATCC 38366 / 972) (taxid:284812),-,kd,0.000007,-,surface plasmon resonance (MI:0107),pubmed:15631622,intact:EBI-7442250
direct interaction,uniprotkb:Q765B0,fklB,shewanella sp. sib1 (taxid:117911),uniprotkb:P00711,LALBA,Bos taurus (Bovine) (taxid:9913),-,kd,0.0000034,-,surface plasmon resonance (MI:0107),pubmed:16223489,intact:EBI-7841241
direct interaction,uniprotkb:P0C6X7,rep,Human SARS coronavirus (taxid:227859),uniprotkb:O75348,ATP6V1G1,Homo sapiens (taxid:9606),-,kd,0.0019,-,enzyme linked immunosorbent assay (MI:0411),pubmed:16226257,intact:EBI-7844053
direct interaction,uniprotkb:Q9JIL4,Pdzk1,Mus musculus (taxid:10090),uniprotkb:P13569,CFTR,Homo sapiens (taxid:9606),-,kd,0.00000012,-,surface plasmon resonance (MI:0107),pubmed:11051556,intact:EBI-7420364
direct interaction,uniprotkb:Q9JIL4,Pdzk1,Mus musculus (taxid:10090),uniprotkb:P13569,CFTR,Homo sapiens (taxid:9606),-,kd,0.00000022,-,surface plasmon resonance (MI:0107),pubmed:11051556,intact:EBI-7420484
direct interaction,uniprotkb:Q9JIL4,Pdzk1,Mus musculus (taxid:10090),uniprotkb:P13569,CFTR,Homo sapiens (taxid:9606),-,kd,0.000000008,-,surface plasmon resonance (MI:0107),pubmed:11051556,intact:EBI-7420567
direct interaction,uniprotkb:Q28619,SLC9A3R1,Oryctolagus cuniculus (Rabbit) (taxid:9986),uniprotkb:P09619,PDGFRB,Homo sapiens (taxid:9606),-,kd,0.000000026,-,filter binding (MI:0049),pubmed:11046132,intact:EBI-7419436
direct interaction,uniprotkb:P21860,ERBB3,Homo sapiens (taxid:9606),uniprotkb:Q63HR2,TNS2,Homo sapiens (taxid:9606),-,kd,0.000000903,-,protein array (MI:0089),pubmed:16273093,intact:EBI-7871671
direct interaction,uniprotkb:P43405,SYK,Homo sapiens (taxid:9606),uniprotkb:P21860,ERBB3,Homo sapiens (taxid:9606),-,kd,0.000000851,-,protein array (MI:0089),pubmed:16273093,intact:EBI-7871714
direct interaction,uniprotkb:P20936,RASA1,Homo sapiens (taxid:9606),uniprotkb:P21860,ERBB3,Homo sapiens (taxid:9606),-,kd,0.000000671,-,protein array (MI:0089),pubmed:16273093,intact:EBI-7871759
direct interaction,uniprotkb:P21860,ERBB3,Homo sapiens (taxid:9606),uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),-,kd,0.000000097,-,protein array (MI:0089),pubmed:16273093,intact:EBI-7871785
direct interaction,uniprotkb:P21860,ERBB3,Homo sapiens (taxid:9606),uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),-,kd,0.000000553,-,protein array (MI:0089),pubmed:16273093,intact:EBI-7871813
direct interaction,uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),uniprotkb:P21860,ERBB3,Homo sapiens (taxid:9606),-,kd,0.00000027,-,protein array (MI:0089),pubmed:16273093,intact:EBI-7871856
direct interaction,uniprotkb:P21860,ERBB3,Homo sapiens (taxid:9606),uniprotkb:O00459,PIK3R2,Homo sapiens (taxid:9606),-,kd,0.000000385,-,protein array (MI:0089),pubmed:16273093,intact:EBI-7871882
direct interaction,uniprotkb:P21860,ERBB3,Homo sapiens (taxid:9606),uniprotkb:P27986,PIK3R1,Homo sapiens (taxid:9606),-,kd,0.000000375,-,protein array (MI:0089),pubmed:16273093,intact:EBI-7871928
direct interaction,uniprotkb:P27986,PIK3R1,Homo sapiens (taxid:9606),uniprotkb:P21860,ERBB3,Homo sapiens (taxid:9606),-,kd,0.000001247,-,protein array (MI:0089),pubmed:16273093,intact:EBI-7871957
direct interaction,uniprotkb:P21860,ERBB3,Homo sapiens (taxid:9606),uniprotkb:P42684,ABL2,Homo sapiens (taxid:9606),-,kd,0.000000158,-,protein array (MI:0089),pubmed:16273093,intact:EBI-7872001
direct interaction,uniprotkb:P29353,SHC1,Homo sapiens (taxid:9606),uniprotkb:P21860,ERBB3,Homo sapiens (taxid:9606),-,kd,0.000000217,-,protein array (MI:0089),pubmed:16273093,intact:EBI-7872027
direct interaction,uniprotkb:P21860,ERBB3,Homo sapiens (taxid:9606),uniprotkb:P42684,ABL2,Homo sapiens (taxid:9606),-,kd,0.000000604,-,protein array (MI:0089),pubmed:16273093,intact:EBI-7872070
